Start:-1.0389997624e-002
Increment:4.9999998737e-005
Sequence,Volt,Volt,Volt
X,CH1,CH2,CH3
616,-1.093e-001,-7.500e-002,5.312e000
617,-2.187e-001,-1.875e-002,5.125e000
618,-1.406e-001,-3.125e-002,5.125e000
619,-2.500e-001,-8.125e-002,5.312e000
620,-1.718e-001,-1.875e-002,5.312e000
621,-2.812e-001,-7.500e-002,5.125e000
622,-1.875e-001,-6.875e-002,5.125e000
623,-2.968e-001,6.250e-003,5.312e000
624,-2.187e-001,-6.250e-003,5.250e000
625,-3.125e-001,1.875e-002,5.062e000
626,-2.343e-001,2.500e-002,5.250e000
627,-3.281e-001,-1.875e-002,5.062e000
628,-2.500e-001,1.250e-002,5.250e000
629,-3.281e-001,-2.500e-002,5.062e000
630,-3.281e-001,1.250e-002,5.062e000
631,-2.500e-001,-3.125e-002,5.250e000
632,-2.500e-001,-3.750e-002,5.062e000
633,-3.437e-001,1.875e-002,5.250e000
634,-3.281e-001,-1.250e-002,5.062e000
635,-2.500e-001,3.125e-002,5.250e000
636,-3.281e-001,3.125e-002,5.187e000
637,-2.343e-001,-1.875e-002,5.000e000
638,-3.125e-001,1.875e-002,5.187e000
639,-2.187e-001,-4.375e-002,5.000e000
640,-2.968e-001,0.000e000,5.187e000
641,-2.031e-001,-5.625e-002,5.000e000
642,-2.812e-001,0.000e000,5.187e000
643,-1.875e-001,-6.875e-002,5.000e000
644,-2.656e-001,0.000e000,5.000e000
645,-1.562e-001,-7.500e-002,5.187e000
646,-2.343e-001,6.250e-003,5.000e000
647,-1.250e-001,-6.875e-002,5.187e000
648,-2.031e-001,-8.125e-002,5.187e000
649,-9.375e-002,1.250e-002,4.937e000
650,-1.718e-001,-1.875e-002,5.125e000
651,-6.250e-002,3.750e-002,4.937e000
652,-1.406e-001,-1.250e-002,5.125e000
653,-3.125e-002,3.125e-002,4.937e000
654,-1.093e-001,3.125e-002,5.125e000
655,0.000e000,-2.500e-002,4.937e000
656,-7.812e-002,2.500e-002,5.125e000
657,1.562e-002,-4.375e-002,4.937e000
658,-6.250e-002,-4.375e-002,5.125e000
659,4.687e-002,3.125e-002,4.937e000
660,-3.125e-002,4.375e-002,4.937e000
661,6.250e-002,-1.250e-002,5.125e000
662,-1.562e-002,3.125e-002,5.125e000
663,7.812e-002,-1.875e-002,4.875e000
664,1.562e-002,1.875e-002,5.062e000
665,9.375e-002,-3.750e-002,4.875e000
666,1.562e-002,2.500e-002,5.062e000
667,1.093e-001,-6.250e-002,4.875e000
668,3.125e-002,6.250e-003,5.062e000
669,1.250e-001,-7.500e-002,4.875e000
670,3.125e-002,-7.500e-002,4.875e000
671,1.250e-001,-6.250e-003,5.062e000
672,4.687e-002,6.250e-003,4.875e000
673,1.250e-001,-5.625e-002,5.062e000
674,1.250e-001,-6.250e-002,4.875e000
675,4.687e-002,2.500e-002,5.062e000
676,4.687e-002,-6.250e-003,5.000e000
677,1.250e-001,5.625e-002,4.812e000
678,1.250e-001,5.000e-002,5.000e000
679,4.687e-002,6.250e-003,4.812e000
680,1.250e-001,5.000e-002,5.000e000
681,3.125e-002,0.000e000,4.812e000
682,4.687e-002,3.750e-002,4.812e000
683,1.250e-001,-1.875e-002,5.000e000
684,1.250e-001,-1.250e-002,4.812e000
685,3.125e-002,5.000e-002,5.000e000
686,3.125e-002,5.000e-002,4.937e000
687,1.250e-001,6.250e-003,4.750e000
688,1.093e-001,5.000e-002,4.937e000
689,3.125e-002,0.000e000,4.812e000
690,1.093e-001,3.750e-002,4.937e000
691,1.562e-002,-1.875e-002,4.750e000
692,1.093e-001,1.875e-002,4.937e000
693,1.562e-002,-3.125e-002,4.750e000
694,1.093e-001,-5.000e-002,4.750e000
695,1.562e-002,6.250e-003,4.937e000
696,9.375e-002,-5.000e-002,4.750e000
697,1.562e-002,6.250e-003,4.937e000
698,9.375e-002,-3.750e-002,4.937e000
699,1.562e-002,6.250e-003,4.687e000
700,9.375e-002,-3.750e-002,4.937e000
701,0.000e000,4.375e-002,4.687e000
702,9.375e-002,2.500e-002,4.875e000
703,0.000e000,4.375e-002,4.687e000
704,0.000e000,4.375e-002,4.875e000
705,9.375e-002,1.875e-002,4.687e000
706,7.812e-002,4.375e-002,4.875e000
707,0.000e000,1.250e-002,4.687e000
708,7.812e-002,3.125e-002,4.687e000
709,-1.562e-002,-6.250e-003,4.875e000
710,7.812e-002,6.250e-003,4.687e000
711,-1.562e-002,5.625e-002,4.875e000
712,6.250e-002,5.625e-002,4.687e000
713,-3.125e-002,1.250e-002,4.875e000
714,6.250e-002,5.000e-002,4.875e000
715,-1.562e-002,0.000e000,4.625e000
716,-1.562e-002,3.750e-002,4.812e000
717,6.250e-002,-6.250e-003,4.625e000
718,6.250e-002,-3.125e-002,4.812e000
719,-3.125e-002,1.875e-002,4.625e000
720,-3.125e-002,1.250e-002,4.812e000
721,6.250e-002,-5.000e-002,4.625e000
722,4.687e-002,-4.375e-002,4.625e000
723,-3.125e-002,1.250e-002,4.812e000
724,-3.125e-002,2.500e-002,4.625e000
725,4.687e-002,-3.125e-002,4.750e000
726,4.687e-002,-6.250e-003,4.750e000
727,-4.687e-002,5.625e-002,4.625e000
728,3.125e-002,2.500e-002,4.750e000
729,-4.687e-002,6.250e-002,4.562e000
730,-4.687e-002,5.625e-002,4.750e000
731,4.687e-002,1.875e-002,4.562e000
732,3.125e-002,5.625e-002,4.750e000
733,-4.687e-002,6.250e-003,4.562e000
734,1.562e-002,6.250e-003,4.562e000
735,-6.250e-002,7.500e-002,4.750e000
736,1.562e-002,7.500e-002,4.562e000
737,-6.250e-002,2.500e-002,4.750e000
738,1.562e-002,6.875e-002,4.687e000
739,-6.250e-002,1.250e-002,4.562e000
740,1.562e-002,6.250e-002,4.687e000
741,-7.812e-002,-6.250e-003,4.500e000
742,1.562e-002,3.750e-002,4.687e000
743,-7.812e-002,-1.875e-002,4.500e000
744,1.562e-002,4.375e-002,4.687e000
745,-9.375e-002,-3.125e-002,4.500e000
746,0.000e000,-2.500e-002,4.687e000
747,-7.812e-002,4.375e-002,4.500e000
748,0.000e000,4.375e-002,4.500e000
749,-9.375e-002,-2.500e-002,4.687e000
750,-9.375e-002,-2.500e-002,4.500e000
751,0.000e000,5.625e-002,4.687e000
752,-9.375e-002,4.375e-002,4.687e000
753,-1.562e-002,8.125e-002,4.437e000
754,-1.562e-002,8.125e-002,4.625e000
755,-1.093e-001,3.750e-002,4.437e000
756,-3.125e-002,6.875e-002,4.625e000
757,-1.250e-001,1.875e-002,4.437e000
758,-3.125e-002,1.250e-002,4.625e000
759,-1.250e-001,6.875e-002,4.437e000
760,-4.687e-002,7.500e-002,4.625e000
761,-1.406e-001,3.750e-002,4.437e000
762,-6.250e-002,7.500e-002,4.437e000
763,-1.562e-001,2.500e-002,4.625e000
764,-6.250e-002,6.875e-002,4.437e000
765,-1.562e-001,6.250e-003,4.625e000
766,-7.812e-002,5.000e-002,4.562e000
767,-1.718e-001,-1.875e-002,4.375e000
768,-9.375e-002,2.500e-002,4.562e000
769,-1.875e-001,-2.500e-002,4.375e000
770,-1.093e-001,3.125e-002,4.562e000
771,-2.031e-001,-3.125e-002,4.375e000
772,-1.250e-001,-2.500e-002,4.562e000
773,-2.187e-001,3.750e-002,4.375e000
774,-1.406e-001,-2.500e-002,4.562e000
775,-2.343e-001,3.125e-002,4.375e000
776,-1.562e-001,1.875e-002,4.375e000
777,-2.343e-001,8.125e-002,4.562e000
778,-1.562e-001,8.125e-002,4.500e000
779,-2.500e-001,5.000e-002,4.312e000
780,-1.718e-001,4.375e-002,4.500e000
781,-2.656e-001,7.500e-002,4.312e000
782,-1.875e-001,6.875e-002,4.500e000
783,-2.812e-001,3.125e-002,4.312e000
784,-2.031e-001,9.375e-002,4.312e000
785,-2.968e-001,5.000e-002,4.500e000
786,-2.031e-001,8.125e-002,4.312e000
787,-2.968e-001,4.375e-002,4.500e000
788,-2.968e-001,8.125e-002,4.312e000
789,-2.031e-001,3.125e-002,4.500e000
790,-2.031e-001,6.250e-002,4.437e000
791,-3.125e-001,1.250e-002,4.312e000
792,-2.968e-001,5.000e-002,4.437e000
793,-2.187e-001,0.000e000,4.250e000
794,-2.968e-001,4.375e-002,4.437e000
