Start:2.5210000051e-002
Increment:5.0000003284e-006
Sequence,Volt,Volt
X,CH1,CH2
400,-3.312e-002,-4.375e-002
401,-4.062e-002,-2.500e-002
402,-3.312e-002,-3.437e-002
403,-4.000e-002,0.000e000
404,-4.000e-002,-9.375e-003
405,-3.312e-002,1.562e-002
406,-4.062e-002,1.562e-002
407,-3.312e-002,-1.875e-002
408,-3.312e-002,-9.375e-003
409,-4.125e-002,-2.187e-002
410,-4.125e-002,-1.875e-002
411,-3.374e-002,9.375e-003
412,-4.250e-002,0.000e000
413,-3.374e-002,3.125e-002
414,-4.125e-002,3.125e-002
415,-3.374e-002,3.125e-003
416,-4.125e-002,9.375e-003
417,-3.374e-002,-2.187e-002
418,-3.437e-002,-2.500e-002
419,-4.250e-002,-9.375e-003
420,-3.437e-002,-1.562e-002
421,-4.187e-002,1.250e-002
422,-3.500e-002,6.250e-003
423,-4.187e-002,3.125e-002
424,-4.250e-002,3.125e-002
425,-3.437e-002,0.000e000
426,-3.500e-002,9.375e-003
427,-4.187e-002,-9.375e-003
428,-3.437e-002,-6.250e-003
429,-4.312e-002,1.562e-002
430,-4.250e-002,6.250e-003
431,-3.500e-002,3.125e-002
432,-3.437e-002,3.437e-002
433,-4.250e-002,-3.125e-003
434,-3.562e-002,6.250e-003
435,-4.375e-002,-4.062e-002
436,-4.250e-002,-3.125e-002
437,-3.500e-002,-4.375e-002
438,-3.500e-002,-4.062e-002
439,-4.312e-002,-9.375e-003
440,-3.562e-002,-1.875e-002
441,-4.375e-002,6.250e-003
442,-4.250e-002,3.125e-003
443,-3.562e-002,-1.875e-002
444,-3.562e-002,-1.875e-002
445,-4.312e-002,-3.125e-003
446,-3.562e-002,-9.375e-003
447,-4.312e-002,2.187e-002
448,-4.312e-002,1.562e-002
449,-3.562e-002,4.062e-002
450,-4.312e-002,4.375e-002
451,-3.562e-002,2.812e-002
452,-3.562e-002,2.500e-002
453,-4.312e-002,3.750e-002
454,-4.375e-002,3.125e-002
455,-3.437e-002,5.000e-002
456,-4.312e-002,4.375e-002
457,-3.500e-002,7.187e-002
458,-4.312e-002,6.250e-002
459,-3.500e-002,7.812e-002
460,-4.312e-002,7.500e-002
461,-3.562e-002,5.312e-002
462,-3.562e-002,6.250e-002
463,-4.250e-002,5.000e-002
464,-4.312e-002,5.000e-002
465,-3.562e-002,7.187e-002
466,-4.250e-002,6.562e-002
467,-3.500e-002,8.125e-002
468,-4.312e-002,8.125e-002
469,-3.562e-002,6.250e-002
470,-3.562e-002,7.187e-002
471,-4.312e-002,5.312e-002
472,-4.250e-002,5.312e-002
473,-3.500e-002,6.562e-002
474,-3.562e-002,5.937e-002
475,-4.312e-002,8.125e-002
476,-4.250e-002,7.500e-002
477,-3.500e-002,8.750e-002
478,-3.562e-002,8.750e-002
479,-4.312e-002,5.625e-002
480,-4.250e-002,6.250e-002
481,-3.437e-002,4.375e-002
482,-4.312e-002,4.375e-002
483,-3.500e-002,6.250e-002
484,-4.250e-002,5.625e-002
485,-3.500e-002,7.500e-002
486,-4.250e-002,7.812e-002
487,-3.500e-002,5.625e-002
488,-3.500e-002,6.562e-002
489,-4.437e-002,4.687e-002
490,-4.250e-002,4.375e-002
491,-3.562e-002,5.625e-002
492,-4.187e-002,4.687e-002
493,-3.500e-002,7.187e-002
494,-4.250e-002,6.250e-002
495,-3.374e-002,7.812e-002
496,-3.437e-002,7.812e-002
497,-4.187e-002,5.312e-002
498,-3.437e-002,6.250e-002
499,-4.187e-002,4.687e-002
500,-4.187e-002,4.687e-002
501,-3.312e-002,6.250e-002
502,-4.187e-002,5.625e-002
503,-3.374e-002,7.187e-002
504,-3.437e-002,7.187e-002
505,-4.125e-002,5.000e-002
506,-3.437e-002,5.937e-002
507,-4.187e-002,4.062e-002
508,-3.437e-002,4.062e-002
509,-4.187e-002,5.312e-002
510,-4.250e-002,4.687e-002
511,-3.500e-002,6.875e-002
512,-3.374e-002,6.250e-002
513,-4.312e-002,7.500e-002
514,-3.500e-002,7.187e-002
515,-4.250e-002,4.687e-002
516,-4.125e-002,5.625e-002
517,-3.374e-002,4.062e-002
518,-4.125e-002,4.375e-002
519,-3.374e-002,6.250e-002
520,-4.125e-002,5.312e-002
521,-3.437e-002,6.875e-002
522,-4.125e-002,6.875e-002
523,-3.374e-002,4.062e-002
524,-4.125e-002,4.687e-002
525,-3.374e-002,2.812e-002
526,-4.125e-002,2.500e-002
527,-3.374e-002,3.750e-002
528,-4.125e-002,2.812e-002
529,-3.374e-002,5.312e-002
530,-4.125e-002,4.375e-002
531,-3.374e-002,6.250e-002
532,-3.374e-002,6.562e-002
533,-4.062e-002,5.312e-002
534,-3.312e-002,6.250e-002
535,-4.125e-002,4.375e-002
536,-4.062e-002,4.375e-002
537,-3.250e-002,5.937e-002
538,-4.125e-002,5.000e-002
539,-3.312e-002,6.875e-002
540,-3.374e-002,5.937e-002
541,-4.125e-002,6.875e-002
542,-4.125e-002,6.562e-002
543,-3.374e-002,5.000e-002
544,-3.374e-002,5.937e-002
545,-4.250e-002,4.687e-002
546,-3.374e-002,5.000e-002
